text,avg_dwell_time_ms,avg_flight_time_ms,pause_ratio,backspace_rate,error_rate,correction_latency_ms,words_per_minute,burst_length,session_duration_sec,late_night_ratio,sentiment_polarity,negation_ratio,uncertainty_ratio,first_person_ratio,lexical_diversity,stress_pct,anxiety_pct,depression_pct
I completed the main tasks for today and reviewed the next steps. The schedule is clear enough for the next session.,111.46,117.15,0.225,0.14968,0.12723,202.655,59.94,9.413,906.989,0.19885,-0.12423,0.119,0.07848,0.08139,0.62677,45.204,48.907,39.611
"The workday was manageable and I moved through the checklist steadily. There is too much to finish at once and the pace feels intense. I am uneasy and keep revisiting the same point for reassurance. It is hard to stay motivated and my energy feels low. The current draft is usable, but it still needs refinement.",116.099,131.713,0.31896,0.20185,0.20288,286.686,47.167,9.022,1022.924,0.26416,-0.72811,0.14221,0.12561,0.11726,0.58398,82.613,71.386,56.453
"I finished the review, documented the results, and cleaned up the notes. The schedule is clear enough for the next session.",105.697,117.337,0.22629,0.08247,0.07828,179.519,55.761,6.744,598.08,0.12277,0.08665,0.07468,0.05839,0.10139,0.67407,23.244,35.285,38.162
"I sent updates, answered messages, and planned tomorrow's priorities. There is too much to finish at once and the pace feels intense. The current draft is usable, but it still needs refinement.",119.373,123.48,0.27276,0.16765,0.15479,248.892,55.298,8.065,826.784,0.16942,-0.42101,0.09282,0.08364,0.05582,0.62285,58.962,50.874,27.888
"I finished the review, documented the results, and cleaned up the notes. Everything feels urgent and I am trying to catch up quickly. I can continue after a short break and another review pass.",136.366,128.51,0.26613,0.15186,0.13763,203.182,53.541,11.759,943.97,0.24871,-0.60076,0.10619,0.07963,0.09034,0.63815,65.837,43.343,43.515
"I completed the main tasks for today and reviewed the next steps. Everything feels urgent and I am trying to catch up quickly. My thoughts keep looping around possible mistakes and consequences. The current draft is usable, but it still needs refinement.",116.163,141.256,0.25524,0.15265,0.17203,227.72,59.775,8.062,991.879,0.24849,-0.31238,0.1188,0.08198,0.08786,0.611,58.202,64.391,40.374
"I finished the review, documented the results, and cleaned up the notes. I am rushing through deadlines and keep switching between tasks. I am uncertain about the outcome and keep second-guessing the details. I do not feel engaged and it is difficult to sustain momentum.",125.383,165.095,0.39845,0.16634,0.17221,214.457,47.446,7.492,1264.51,0.26749,-0.96356,0.12807,0.10422,0.11653,0.56054,66.518,64.116,74.396
The workday was manageable and I moved through the checklist steadily. I can continue after a short break and another review pass.,74.236,106.748,0.12926,0.0312,0.01728,145.83,72.011,9.281,696.068,0.15594,0.01,0.06028,0.01771,0.09899,0.79296,6.482,2.611,50.129
"I sent updates, answered messages, and planned tomorrow's priorities. Everything feels urgent and I am trying to catch up quickly. I am uneasy and keep revisiting the same point for reassurance.",146.628,99.098,0.33238,0.22006,0.21905,262.779,46.358,8.511,1251.512,0.18535,-0.33552,0.125,0.13591,0.07351,0.61889,79.017,84.432,38.45
The workday was manageable and I moved through the checklist steadily. There is too much to finish at once and the pace feels intense. My thoughts keep looping around possible mistakes and consequences. The work feels heavier than it should and I am moving slowly.,133.787,115.656,0.32919,0.17593,0.18281,276.08,56.054,6.348,1058.254,0.27755,-0.98813,0.13287,0.11373,0.12978,0.62881,74.075,66.655,63.268
I completed the main tasks for today and reviewed the next steps. I keep worrying that something might go wrong even after I check it. I will revisit the remaining items tomorrow.,124.479,110.241,0.28123,0.16465,0.13236,204.991,60.415,9.311,933.895,0.25325,-0.21496,0.12554,0.10203,0.12891,0.63574,47.624,56.919,50.813
"I sent updates, answered messages, and planned tomorrow's priorities. Everything feels urgent and I am trying to catch up quickly. I am uneasy and keep revisiting the same point for reassurance. It is hard to stay motivated and my energy feels low.",122.591,135.214,0.29721,0.21849,0.19199,258.453,49.835,7.665,1298.301,0.22262,-1.0,0.10774,0.06566,0.09989,0.63298,88.111,55.778,56.694
"I finished the review, documented the results, and cleaned up the notes. I keep correcting myself because I do not want to miss anything important. My thoughts keep looping around possible mistakes and consequences. The schedule is clear enough for the next session.",132.337,129.931,0.24765,0.21206,0.18554,240.973,48.878,7.054,1151.606,0.24118,-0.52723,0.12437,0.12451,0.09212,0.54903,77.462,65.776,46.864
"I finished the review, documented the results, and cleaned up the notes. The current draft is usable, but it still needs refinement.",109.459,141.072,0.28621,0.11903,0.13675,206.799,61.507,8.954,904.174,0.16542,0.05753,0.08638,0.0913,0.11379,0.68719,43.582,54.148,35.518
"I sent updates, answered messages, and planned tomorrow's priorities. I am uneasy and keep revisiting the same point for reassurance. I can continue after a short break and another review pass.",113.942,99.668,0.24336,0.17497,0.1638,214.529,50.301,3.698,898.469,0.28421,-0.28167,0.11008,0.10671,0.07691,0.63329,53.021,60.751,46.366
"I sent updates, answered messages, and planned tomorrow's priorities. I keep worrying that something might go wrong even after I check it. I can continue after a short break and another review pass.",111.918,119.097,0.35424,0.14904,0.18212,235.775,65.525,4.141,891.627,0.16733,-0.54821,0.13694,0.12609,0.09534,0.63522,54.116,78.827,48.65
"I sent updates, answered messages, and planned tomorrow's priorities. My thoughts keep looping around possible mistakes and consequences.",126.811,129.037,0.25977,0.14688,0.1616,231.993,53.764,8.614,922.386,0.15451,-0.13988,0.08466,0.11749,0.09243,0.66006,54.251,60.969,31.215
"I finished the review, documented the results, and cleaned up the notes. I am uneasy and keep revisiting the same point for reassurance.",110.29,123.2,0.27498,0.12083,0.15592,218.598,74.698,8.111,714.688,0.15521,0.23012,0.09734,0.0946,0.06824,0.65396,43.471,69.885,18.151
"I sent updates, answered messages, and planned tomorrow's priorities. I keep correcting myself because I do not want to miss anything important. I keep worrying that something might go wrong even after I check it. I will revisit the remaining items tomorrow.",146.012,164.712,0.25974,0.17828,0.19423,244.854,53.186,6.667,1223.0,0.27046,-0.90774,0.1155,0.11941,0.09403,0.60109,88.417,56.519,43.307
"I finished the review, documented the results, and cleaned up the notes. The schedule is clear enough for the next session.",95.544,107.277,0.1569,0.05185,0.08352,169.984,52.9,10.236,680.143,0.10924,-0.08359,0.08944,0.07315,0.10754,0.72976,16.067,39.308,32.458
"I finished the review, documented the results, and cleaned up the notes. I will revisit the remaining items tomorrow.",99.536,109.337,0.17931,0.09916,0.10137,196.368,68.216,7.983,751.822,0.1908,-0.04736,0.09398,0.06656,0.10479,0.65031,36.328,44.992,48.404
The workday was manageable and I moved through the checklist steadily. I am rushing through deadlines and keep switching between tasks. My thoughts keep looping around possible mistakes and consequences.,134.93,109.875,0.27411,0.20428,0.19748,267.765,60.138,8.992,987.209,0.2143,-0.09228,0.09436,0.10321,0.08306,0.72638,69.036,80.117,25.863
"I finished the review, documented the results, and cleaned up the notes. I can continue after a short break and another review pass.",109.791,120.974,0.158,0.09567,0.0848,161.065,72.682,11.232,942.964,0.19071,0.067,0.0906,0.06037,0.08329,0.68827,31.659,31.956,47.014
"I completed the main tasks for today and reviewed the next steps. The current draft is usable, but it still needs refinement.",112.001,124.589,0.22377,0.08929,0.07684,162.774,68.52,9.721,849.858,0.17976,0.02621,0.06376,0.05653,0.08187,0.68709,27.182,33.573,32.719
"I finished the review, documented the results, and cleaned up the notes. I keep correcting myself because I do not want to miss anything important.",117.563,141.974,0.19495,0.16606,0.17422,205.625,54.621,6.961,937.648,0.22386,-0.24214,0.13264,0.08521,0.12473,0.63315,60.981,52.831,51.558
I completed the main tasks for today and reviewed the next steps. The schedule is clear enough for the next session.,81.008,105.149,0.20202,0.05061,0.0735,146.46,67.04,8.236,600.847,0.1286,0.03907,0.08553,0.06487,0.05637,0.61825,8.465,36.074,32.563
"I sent updates, answered messages, and planned tomorrow's priorities. I am uncertain about the outcome and keep second-guessing the details. It is hard to stay motivated and my energy feels low. The schedule is clear enough for the next session.",109.361,117.15,0.34879,0.12674,0.1548,229.156,54.34,9.608,946.926,0.31312,-0.64464,0.13097,0.10779,0.10953,0.57774,47.881,64.631,68.703
"I sent updates, answered messages, and planned tomorrow's priorities. I keep worrying that something might go wrong even after I check it.",117.935,129.604,0.30335,0.14289,0.14555,198.553,64.615,10.318,892.203,0.16355,0.13954,0.09808,0.11386,0.07565,0.67314,43.487,59.635,26.818
"I sent updates, answered messages, and planned tomorrow's priorities. Everything feels urgent and I am trying to catch up quickly. My thoughts keep looping around possible mistakes and consequences. I feel mentally drained and focusing takes more effort than usual. I will revisit the remaining items tomorrow.",119.446,138.518,0.36448,0.23593,0.21823,263.599,46.711,6.973,1341.417,0.29177,-1.0,0.17719,0.12328,0.11594,0.58544,85.078,78.822,77.454
"I sent updates, answered messages, and planned tomorrow's priorities. I am rushing through deadlines and keep switching between tasks. I keep worrying that something might go wrong even after I check it. I do not feel engaged and it is difficult to sustain momentum. The schedule is clear enough for the next session.",124.505,134.337,0.37573,0.21631,0.21496,274.894,47.068,8.212,1281.982,0.26595,-0.67674,0.14617,0.09946,0.10991,0.52735,84.793,72.882,68.709
"I finished the review, documented the results, and cleaned up the notes. Everything feels urgent and I am trying to catch up quickly. I keep worrying that something might go wrong even after I check it. The current draft is usable, but it still needs refinement.",128.973,115.485,0.29004,0.17225,0.14792,248.038,65.366,8.782,862.901,0.16741,-0.34453,0.10669,0.08817,0.08614,0.60168,58.313,59.761,34.071
The workday was manageable and I moved through the checklist steadily. I will revisit the remaining items tomorrow.,90.885,113.455,0.17585,0.075,0.08993,206.418,79.446,7.58,932.572,0.191,-0.20561,0.10087,0.06224,0.10203,0.64683,26.749,34.331,50.588
The workday was manageable and I moved through the checklist steadily. I will revisit the remaining items tomorrow.,92.451,124.724,0.20916,0.08315,0.11116,205.402,71.306,7.833,687.213,0.17859,-0.17281,0.10699,0.08821,0.09833,0.68302,25.816,43.069,52.218
I completed the main tasks for today and reviewed the next steps. There is too much to finish at once and the pace feels intense. I will revisit the remaining items tomorrow.,123.083,150.939,0.19003,0.14806,0.16378,233.079,60.043,9.035,1050.408,0.2721,-0.36675,0.1082,0.09646,0.09936,0.59863,73.837,49.936,46.742
"I finished the review, documented the results, and cleaned up the notes. Everything feels urgent and I am trying to catch up quickly. I am uneasy and keep revisiting the same point for reassurance. It is hard to stay motivated and my energy feels low. The schedule is clear enough for the next session.",132.021,121.264,0.36279,0.22343,0.22185,276.479,40.258,8.006,1187.095,0.33296,-1.0,0.15039,0.12638,0.13389,0.60004,83.808,80.114,74.59
The workday was manageable and I moved through the checklist steadily. I will revisit the remaining items tomorrow.,96.012,120.027,0.10931,0.04644,0.03547,101.838,59.216,6.835,460.788,0.10227,0.34513,0.05404,0.0355,0.0869,0.74204,17.635,6.677,34.973
I completed the main tasks for today and reviewed the next steps. There is too much to finish at once and the pace feels intense. My thoughts keep looping around possible mistakes and consequences. It is hard to stay motivated and my energy feels low. I can continue after a short break and another review pass.,147.532,127.557,0.39071,0.21312,0.20487,232.699,52.144,5.056,1241.777,0.31261,-0.85522,0.14813,0.12299,0.10019,0.64521,77.554,81.129,56.445
"I sent updates, answered messages, and planned tomorrow's priorities. I am rushing through deadlines and keep switching between tasks. I feel mentally drained and focusing takes more effort than usual. I will revisit the remaining items tomorrow.",122.688,130.411,0.34161,0.12882,0.13212,240.33,52.476,7.693,988.415,0.27848,-0.42074,0.14451,0.08984,0.12155,0.57496,62.309,51.867,72.353
"I finished the review, documented the results, and cleaned up the notes. The work feels heavier than it should and I am moving slowly. I will revisit the remaining items tomorrow.",112.256,147.331,0.21566,0.11304,0.08282,207.917,52.091,7.231,962.956,0.1913,-0.48027,0.11389,0.05094,0.09921,0.6192,43.713,24.952,65.233
The workday was manageable and I moved through the checklist steadily. The schedule is clear enough for the next session.,116.134,108.172,0.18431,0.11853,0.09357,204.359,80.926,10.376,663.535,0.10203,0.15648,0.06258,0.07203,0.06756,0.63541,34.473,44.376,13.8
"I sent updates, answered messages, and planned tomorrow's priorities. Everything feels urgent and I am trying to catch up quickly. I do not feel engaged and it is difficult to sustain momentum. The current draft is usable, but it still needs refinement.",122.33,113.102,0.30054,0.20102,0.16249,243.461,47.032,6.641,1288.075,0.25749,-0.66851,0.10911,0.11468,0.12187,0.59146,73.681,54.889,62.198
"I sent updates, answered messages, and planned tomorrow's priorities. I am uncertain about the outcome and keep second-guessing the details. The work feels heavier than it should and I am moving slowly. I can continue after a short break and another review pass.",127.45,130.756,0.33993,0.15348,0.16097,256.025,54.224,5.598,1136.596,0.29837,-0.60782,0.15894,0.10451,0.11922,0.55672,51.855,65.172,75.305
